OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
d8f019eda7b3e049937ae1fa46078931,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,NA,NA
d8f88d7d5cceec87e76568a2ea0dac16,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
d902baa05ac7a0f2ce676eca3baf2bf7,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta
d905d58644c252c7d1c3ef57eafe5d56,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,NA,NA
d9085fc6c860c759fa87eaf61d394404,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,coprophilus
d9179eb3318193d16b6f3465a775b91d,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,NA
d92307ba670a27c7272748057b9d4d55,Bacteria,Firmicutes,Bacilli,Gemellales,Gemellaceae,Gemella,NA
d9268005e05ea1528f626ddeb9f925b2,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
d9370d7ed28280cb6bf4b23475a6eb19,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA
d93e41c1b1c89a1e2d636c0aaae07e2e,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,NA,NA
d942855aae1f22ebd11add5ed3577d11,Bacteria,Firmicutes,Bacilli,Turicibacterales,Turicibacteraceae,Turicibacter,NA
d94694e1fda3357000a6ee478de7fb9e,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA
